"Alternative","Cost","Effectiveness","Frequency","Difficulty","Liability","Attractiveness","Total_Utility","Utility_Score"
"Rotenone",0.667,0.889,1,0.778,1,1,5.333,0.889
"CO2",0.667,0.667,0.889,0.667,0.667,0.889,4.444,0.741
"Dry out basin",0.889,0.778,0.556,0.333,0.778,0.667,4,0.667
"Renovate and dry",0.222,1,0.667,0.222,0.889,0.778,3.778,0.63
"Predator stocking",0.778,0.333,0.778,0.889,0.333,0.111,3.222,0.537
"Electrofishing",0.556,0.444,0.444,0.556,0.444,0.556,3,0.5
"Status quo",1,0.222,0.444,1,0.222,0,2.889,0.481
"Seining",0.556,0.444,0.444,0.556,0.444,0.444,2.889,0.481
"Mechanical combo",0.333,0.556,0.444,0.444,0.556,0.333,2.667,0.444
"Corraling",0.444,0.556,0.444,0.444,0.556,0.222,2.667,0.444
